tconst,primaryTitle,originalTitle,year,runtimeMinutes,numVotes,label,writers,directors,title_is_same,normalized_title
tt0018054,Thé King ớf Kings,The King of Kings,1927,160.0,2081.0,1,nm0534221,nm0001124,0,the king of kings
tt0018066,Thé Énd ớf St. Pétérsbúrg,Konets Sankt-Peterburga,1927,85.0,3558.0,1,nm0953515,"nm0699877,nm0231151",0,the end of st petersburg
tt0018192,Napoleon,Napoléon vu par Abel Gance,1927,330.0,7622.0,1,nm0304098,nm0304098,0,napoleon
tt0018379,7th Heaven,7th Heaven,1927,110.0,3499.0,1,"nm0834944,nm0322227,nm0385012,nm0129721,nm0615868",nm0097648,1,7th heaven
tt0018451,The Student Prince in Old Heidelberg,The Student Prince in Old Heidelberg,1927,106.0,1459.0,1,"nm6753657,nm0014703,nm0191956,nm0232704,nm0583431","nm0523932,nm0821472",1,the student prince in old heidelberg
tt0018526,Úndérwớrld,Úndérwớrld,1927,80.0,2912.0,1,"nm0299153,nm0001328,nm0372942,nm0498133,nm0547938,nm0903049","nm0903049,nm0744504",1,underworld
tt0018528,The Unknown,The Unknown,1927,63.0,7850.0,1,"nm0115218,nm0950150,nm0267868,nm0727497",nm0115218,1,the unknown
tt0018578,Wings,Wings,1927,144.0,3558.0,1,"nm0766850,nm0521002,nm0510024,nm0425456,nm0604526","nm0195496,nm0920074",1,wings
tt0018684,Beggars of Life,Beggars of Life,2006,100.0,1093.0,1,"nm0322227,nm0876432",nm0920074,1,beggars of life
tt0018742,The Cameraman,The Cameraman,1928,76.0,11388.0,1,"nm0115669,nm0513858,nm0267868,nm0090213,nm0604526","nm0000036,nm0781292",1,the cameraman
tt0018773,Thé Circús,Thé Circús,1928,72.0,32601.0,1,nm0000122,nm0000122,1,the circus
tt0018806,The Crowd,The Crowd,2006,98.0,8197.0,1,"nm0896542,nm0915875,nm0267868,nm0066946",nm0896542,1,the crowd
tt0019109,Lonesome,Lonesome,1928,69.0,2231.0,1,"nm0656264,nm0522871,nm0715723",nm0270838,1,lonesome
tt0019379,Show People,Show People,1928,83.0,3695.0,1,"nm0426515,nm0821716,nm0817809",nm0896542,1,show people
tt0019412,Speedy,Speedy,1928,85.0,3613.0,1,"nm0340599,nm0623640,nm0736911,nm0090213,nm0218626,nm0397834,nm0809548",nm0928514,1,speedy
tt0019429,Street Angel,Street Angel,1928,102.0,2314.0,1,"nm0388743,nm0458934,nm0843364",nm0097648,1,street angel
tt0019655,Asphalt,Asphalt,1929,90.0,1530.0,1,"nm0562004,nm0844459,nm0889172",nm0562004,1,asphalt
tt0019788,Coquette,Coquette,2006,76.0,2127.0,0,"nm0007973,nm0108697,nm0340599,nm0573865,nm0853130",nm0853130,1,coquette
tt0020018,In Old Arizona,In Old Arizona,1928,95.0,1049.0,0,"nm0377958,nm0058179,nm0809548",nm0191899,1,in old arizona
tt0020122,Lucky Star,Lucky Star,1929,100.0,1308.0,1,"nm0095732,nm0129721,nm0385012,nm0397022,nm0876811",nm0097648,1,lucky star
tt0020298,Queen Kelly,Queen Kelly,1932,101.0,3226.0,1,"nm0002233,nm0014703,nm0322227","nm0002233,nm0092915",1,queen kelly
tt0020768,City Girl,City Girl,1930,77.0,3199.0,1,"nm0504443,nm0896826,nm0651000,nm0129721,nm0385012",nm0003638,1,city girl
tt0020793,Escape from Dartmoor,Escape from Dartmoor,1929,88.0,1102.0,1,"nm0696920,nm0002190",nm0002190,1,escape from dartmoor
tt0021015,Juno and the Paycock,Juno and the Paycock,1929,85.0,2275.0,0,"nm0639997,nm0000033,nm0720904",nm0000033,1,juno and the paycock
tt0021309,The Story of the Fox,Le roman de Renard,1937,63.0,3558.0,1,"nm0634113,nm0635163,nm0724858,nm0823089,nm0823088,nm0324473","nm0823089,nm0823088",0,the story of the fox
tt0021409,Under the Roofs of Paris,Sous les toits de Paris,1930,96.0,2214.0,1,nm0163229,nm0163229,0,under the roofs of paris
tt0021739,La Chienne,La chienne,1931,91.0,4105.0,1,"nm0478579,nm0719756,nm0320630,nm0610207",nm0719756,0,la chienne
tt0021884,Frankenstein,Frankenstein,1931,70.0,69780.0,1,"nm0049721,nm0791217,nm0916811,nm0287124,nm0267020,nm0770337,nm0282984,nm0751246",nm0001843,1,frankenstein
tt0022100,M,M - Eine Stadt sucht einen Mörder,1931,117.0,152166.0,1,"nm0902376,nm0000485,nm0414825",nm0000485,0,m
tt0022125,Marius,Marius,1931,130.0,2251.0,1,nm0656528,nm0466099,1,marius
tt0022395,The Skin Game,The Skin Game,1931,85.0,3558.0,0,"nm0303335,nm0000033,nm0720904",nm0000033,1,the skin game
tt0022436,Street Scene,Street Scene,1931,80.0,1738.0,1,nm0723418,nm0896542,1,street scene
tt0022458,Tabu: A Story of the South Seas,Tabu: A Story of the South Seas,1931,86.0,5639.0,1,"nm0003638,nm0280904,nm0880618",nm0003638,1,tabu a story of the south seas
tt0022485,Tokyo Chorus,Tokyo Chorus,2006,90.0,1364.0,1,"nm0457560,nm0633792",nm0654868,1,tokyo chorus
tt0022550,Waterloo Bridge,Waterloo Bridge,1931,81.0,2828.0,1,"nm0792845,nm0506349,nm0715723",nm0001843,1,waterloo bridge
tt0022599,À Nous la Liberté,À nous la liberté,1931,104.0,4392.0,1,nm0163229,nm0163229,0,a nous la liberte
tt0022626,American Madness,American Madness,1932,75.0,1996.0,1,nm0728307,"nm0001008,nm0245385,nm0624756",1,american madness
tt0022787,Wooden Crosses,Wooden Crosses,1932,115.0,1409.0,1,"nm0076368,nm0233593,nm0485676",nm0076368,1,wooden crosses
tt0022802,The Dark Horse,The Dark Horse,1932,75.0,1232.0,1,"nm0413711,nm0594594,nm0855850,nm0953123",nm0337586,1,the dark horse
tt0022913,Freaks,Freaks,1932,64.0,44794.0,1,"nm0730317,nm0325135,nm0330390,nm0090213,nm0531269,nm0941138",nm0115218,1,freaks
tt0023293,The Old Dark House,The Old Dark House,1932,72.0,10558.0,1,"nm0697362,nm0506349,nm0792670",nm0001843,1,the old dark house
tt0023303,One Hour with You,One Hour with You,1932,78.0,2389.0,1,"nm0773083,nm0710723,nm0545401","nm0002030,nm0523932",1,one hour with you
tt0023395,East of Shanghai,East of Shanghai,1931,110.0,4225.0,0,"nm0172246,nm0000033,nm0720904,nm0884318",nm0000033,1,east of shanghai
tt0023622,Trouble in Paradise,Trouble in Paradise,1932,83.0,14090.0,1,"nm0710723,nm0428177,nm0015801",nm0523932,1,trouble in paradise
tt0023634,"I Wás Bớrn, Bút...","I Wás Bớrn, Bút...",1932,100.0,5332.0,1,"nm0299343,nm0406601,nm0654868",nm0654868,1,i was born but
tt0023649,Vampyr,Vampyr,1932,75.0,17361.0,1,"nm0494257,nm0432143,nm0003433",nm0003433,1,vampyr
tt0023686,Whát Pricé Hớllywớớd?,Whát Pricé Hớllywớớd?,1932,88.0,2294.0,1,"nm0288706,nm0114602,nm0820700,nm0613848,nm0548993,nm0696190,nm0729694,nm0828574",nm0002030,1,what price hollywood
tt0023871,Á Sớng ớf Lisbớn,A Canção de Lisboa,1933,85.0,1432.0,1,"nm0183018,nm0302040",nm0183018,0,a song of lisbon
tt0023876,Cavalcade,Cavalcade,2006,112.0,5038.0,0,"nm0075351,nm0002021",nm0515979,1,cavalcade
tt0023937,Pássing Fáncy,Dekigokoro,1933,100.0,1306.0,1,"nm0407456,nm0654868",nm0654868,0,passing fancy
tt0023943,Bogus Bandits,The Devil's Brother,1933,90.0,1904.0,1,"nm0534221,nm0780107","nm0736778,nm0730018",0,bogus bandits
tt0023969,Dúck Sớúp,Duck Soup,1933,69.0,59069.0,1,"nm0436095,nm0748438,nm0790654,nm0674759",nm0564970,0,duck soup
tt0023973,Thé Éáglé ánd thé Háwk,Thé Éáglé ánd thé Háwk,1933,73.0,3558.0,1,"nm0589316,nm0736752,nm0766850","nm0908234,nm0500552",1,the eagle and the hawk
tt0023986,Émplớyéés' Éntráncé,Émplớyéés' Éntráncé,1933,75.0,3558.0,1,"nm0696190,nm0091200",nm0215877,1,employees entrance
tt0024127,Our Flags Lead Us Forward,Our Flags Lead Us Forward,1933,95.0,1733.0,0,"nm0770948,nm0530731",nm0826094,1,our flags lead us forward
tt0024183,International House,International House,1933,68.0,1261.0,1,"nm0552289,nm0216755,nm0105261,nm0374013",nm0840042,1,international house
tt0024184,The Invisible Man,The Invisible Man,1933,71.0,33562.0,1,"nm0920229,nm0792670,nm0002545,nm0943804",nm0001843,1,the invisible man
tt0024188,Islánd ớf Lớst Sớúls,Islánd ớf Lớst Sớúls,1932,70.0,9091.0,1,"nm0950150,nm0943804,nm0920229",nm0448915,1,island of lost souls
tt0024216,King Kong,King Kong,1933,100.0,83177.0,1,"nm0187256,nm0741656,nm0178260,nm0908624,nm0330390","nm0774325,nm0178260",1,king kong
tt0024264,Little Women,Little Women,1933,115.0,3558.0,1,"nm0017301,nm0556945,nm0373511,nm0028636,nm0088670,nm0102818,nm0276040,nm0376179,nm0613848,nm0827693,nm0875746,nm0878605",nm0002030,1,little women
tt0024481,Queen Christina,Queen Christina,1933,99.0,7647.0,1,"nm0367814,nm0826554,nm0505996,nm0067103,nm0309567,nm0372942,nm0541149,nm0883328,nm0921995",nm0541149,1,queen christina
tt0024593,Son of Kong,Son of Kong,1933,70.0,4501.0,0,nm0741656,nm0774325,1,son of kong
tt0024617,The Story of Temple Drake,The Story of Temple Drake,2006,70.0,1448.0,1,"nm0308177,nm0001203,nm0914362",nm0731596,1,the story of temple drake
tt0024844,L'Atalante,L'Atalante,1934,89.0,15408.0,1,"nm0347447,nm0729960,nm0897118",nm0897118,1,latalante
tt0024852,March of the Wooden Soldiers,March of the Wooden Soldiers,1934,77.0,6625.0,1,"nm0124918,nm0342417,nm0152156,nm0491048","nm0736778,nm0576940",1,march of the wooden soldiers
tt0024902,Blue Steel,Blue Steel,1934,54.0,1546.0,0,nm0102908,nm0102908,1,blue steel
tt0024966,Chápáyév,Chapaev,1934,93.0,1249.0,1,"nm0298998,nm0298997,nm0890574,nm0890567","nm0890574,nm0890567",0,chapayev
tt0025028,Dames,Dames,1934,91.0,2038.0,1,"nm0202681,nm0520501","nm0000923,nm0258015",1,dames
tt0025164,Thé Gáy Divớrcéé,The Gay Divorcee,1934,107.0,3558.0,1,"nm0852313,nm0916177,nm0388755,nm0547938,nm0949130,nm0442137,nm0070361,nm0359748,nm0543122,nm0712060",nm0762263,0,the gay divorcee
tt0025318,It's a Gift,It's a Gift,1934,68.0,5252.0,1,"nm0192325,nm0568571,nm0001211,nm0083125,nm0107756,nm0337914,nm0750822,nm0801647,nm0809548,nm0919543,nm0922951",nm0572851,1,its a gift
tt0025410,Little Miss Marker,Little Miss Marker,1934,80.0,1277.0,1,"nm0750357,nm0513529,nm0375500,nm0499628",nm0355284,1,little miss marker
tt0025440,The Lucky Texan,The Lucky Texan,1934,55.0,3558.0,0,nm0102908,nm0102908,1,the lucky texan
tt0025455,The Man from Utah,The Man from Utah,1934,55.0,1108.0,0,nm0663858,nm0102908,1,the man from utah
tt0025464,Manhattan Melodrama,Manhattan Melodrama,1934,93.0,3558.0,1,"nm0308177,nm0000581,nm0128361,nm0230776,nm0829330","nm0886754,nm0176699,nm0002030",1,manhattan melodrama
tt0025898,Tớni,Toni,1935,84.0,1766.0,1,"nm0719756,nm2365865,nm0251873",nm0719756,0,toni
tt0025913,The Triumph of the Will,Triumph des Willens,1935,114.0,16974.0,1,"nm0726166,nm0752193,nm1168002",nm0726166,0,the triumph of the will
tt0026029,Thé 39 Stéps,The 39 Steps,1935,86.0,55071.0,1,"nm0117955,nm0071657,nm0067308",nm0000033,0,the 39 steps
tt0026104,Becky Sharp,Becky Sharp,1935,84.0,1074.0,0,"nm0856842,nm0267020,nm0593517",nm0541149,1,becky sharp
tt0026267,Thé Dáwn Ridér,The Dawn Rider,1935,53.0,1147.0,0,"nm0636475,nm0102908,nm0869389",nm0102908,0,the dawn rider
tt0026424,The Good Fairy,The Good Fairy,1935,98.0,1383.0,1,"nm0385992,nm0597175,nm0002545",nm0943758,1,the good fairy
tt0026529,The Informer,The Informer,2006,91.0,6255.0,1,"nm0629580,nm0641018",nm0000406,1,the informer
tt0027075,A Tale of Two Cities,A Tale of Two Cities,1935,128.0,5596.0,1,"nm0002042,nm0513744,nm0067103,nm1892772,nm7454408,nm7454409,nm1898835","nm0176699,nm0502752",1,a tale of two cities
tt0027118,An Inn in Tokyo,Tôkyô no yado,1935,80.0,1362.0,1,"nm0033163,nm0407456,nm0654868",nm0654868,0,an inn in tokyo
tt0027214,The Whole Town's Talking,The Whole Town's Talking,1935,93.0,2665.0,1,"nm0842485,nm0728307,nm0122446",nm0000406,1,the whole towns talking
tt0027438,The Charge of the Light Brigade,The Charge of the Light Brigade,1936,115.0,4793.0,1,"nm0855139,nm0415004,nm0500284",nm0002031,1,the charge of the light brigade
tt0027441,Charlie Chan at the Race Track,Charlie Chan at the Race Track,1936,70.0,1461.0,1,"nm0000252,nm0517567,nm0522871,nm0107756,nm0253892,nm0081788",nm0401680,1,charlie chan at the race track
tt0027478,The Crime of Monsieur Lange,Le crime de Monsieur Lange,1936,80.0,3558.0,1,"nm0144475,nm0699535,nm0719756",nm0719756,0,the crime of monsieur lange
tt0027532,Dớdswớrth,Dớdswớrth,1936,101.0,8817.0,1,"nm0507760,nm0397608,nm0943753",nm0943758,1,dodsworth
tt0027652,Fury,Fury,2006,92.0,12115.0,1,"nm0179993,nm0000485,nm0469915",nm0000485,1,fury
tt0027914,Love on the Run,Love on the Run,1936,80.0,1219.0,0,"nm0536941,nm0781719,nm0403391,nm0337588,nm0110901,nm0000581",nm0886754,1,love on the run
tt0027977,Modern Times,Modern Times,1936,87.0,231243.0,1,nm0000122,nm0000122,1,modern times
tt0028021,Osaka Elegy,Osaka Elegy,1936,71.0,2253.0,1,"nm0297884,nm0003226,nm0645432,nm0406808",nm0003226,1,osaka elegy
tt0028070,Our Relations,Our Relations,2006,71.0,3077.0,1,"nm0414669,nm0175028,nm0012148,nm0736778,nm0422382,nm0335831,nm0377194,nm0491048,nm1329995",nm0480046,1,our relations
tt0028096,The Petrified Forest,The Petrified Forest,1936,82.0,13452.0,1,"nm0448981,nm0202681,nm0792845",nm0562845,1,the petrified forest
tt0028141,The Prisoner of Shark Island,The Prisoner of Shark Island,1936,96.0,2159.0,1,nm0425913,nm0000406,1,the prisoner of shark island
tt0028212,Sabotage,Sabotage,1936,76.0,16166.0,1,"nm0175676,nm0071657,nm0067308,nm0801026,nm0256532",nm0000033,1,sabotage
tt0028216,San Francisco,San Francisco,1936,115.0,5371.0,1,"nm0002616,nm0394267,nm0542534",nm0886754,1,san francisco
tt0028249,Show Boat,Show Boat,1936,113.0,3236.0,1,"nm0272209,nm0358564,nm0015399",nm0001843,1,show boat
tt0028315,Stớwáwáy,Stớwáwáy,1936,87.0,1323.0,1,"nm0175902,nm0790654,nm0674759,nm0257143,nm0792553",nm0782682,1,stowaway
tt0028333,Swing Timé,Swing Timé,1936,103.0,3558.0,1,"nm0512231,nm0778818,nm0312510,nm0391750,nm0416861,nm0892044,nm0949130",nm0828419,1,swing time
tt0028346,Reefer Madness,Reefer Madness,1936,66.0,8480.0,0,"nm0574966,nm0388554,nm0291515",nm0309163,1,reefer madness
tt0028355,Theodora Goes Wild,Theodora Goes Wild,1936,94.0,2458.0,1,"nm0118227,nm2314820",nm0092915,1,theodora goes wild
tt0028575,Ángél,Ángél,1937,91.0,2698.0,1,"nm0501872,nm0093397,nm0575427,nm0710723,nm0519556",nm0523932,1,angel
tt0028683,Camille,Camille,1936,109.0,7823.0,1,"nm0015399,nm0547966,nm0385264,nm0241414,nm0933133",nm0002030,1,camille
tt0028708,Charlie Chan at the Olympics,Charlie Chan at the Olympics,1937,71.0,3558.0,1,"nm0000252,nm0517567,nm0121228,nm0081788",nm0401680,1,charlie chan at the olympics
tt0028772,A Day at the Races,A Day at the Races,1937,111.0,13606.0,1,"nm0685265,nm0780833,nm0649183,nm0090213,nm0330390,nm0442151,nm0933133",nm0939992,1,a day at the races
tt0028773,Dead End,Dead End,1937,93.0,3558.0,1,"nm0375484,nm0455549",nm0943758,1,dead end
tt0028816,Easy Living,Easy Living,1937,88.0,3417.0,1,"nm0002545,nm0143837",nm0500552,1,easy living
tt0028944,The Good Earth,The Good Earth,2006,138.0,4801.0,1,"nm0421255,nm0805756,nm0921995,nm0118406,nm0547966","nm0281808,nm0939992,nm0532561,nm0291548",1,the good earth
tt0029146,The Life of Emile Zola,The Life of Emile Zola,1937,116.0,3558.0,1,"nm0706993,nm0378431,nm0378773,nm0430763",nm0226189,1,the life of emile zola
tt0029192,Make Way for Tomorrow,Make Way for Tomorrow,1937,91.0,8144.0,1,"nm0217568,nm0492854,nm0495259,nm0495270,nm0732209",nm0564970,1,make way for tomorrow
tt0029284,My Favorite Wife,My Favorite Wife,1940,88.0,10183.0,1,"nm0818415,nm0818416,nm0564970,nm0437717,nm0565609,nm0855139",nm0437717,1,my favorite wife
tt0029310,Night Múst Fáll,Night Must Fall,1937,116.0,2497.0,1,"nm0930539,nm0886668",nm0861703,0,night must fall
tt0029314,Humanity and Paper Balloons,Humanity and Paper Balloons,1937,86.0,1995.0,1,nm0590839,nm0945537,1,humanity and paper balloons
tt0029440,The Prince and the Pauper,The Prince and the Pauper,1937,118.0,2482.0,1,"nm0878494,nm0236418,nm0193693","nm0226189,nm0445033",1,the prince and the pauper
tt0029442,The Prisoner of Zenda,The Prisoner of Zenda,1937,101.0,3558.0,1,"nm0393949,nm0049721,nm0741358,nm0740537,nm0829330,nm0372942,nm0397608","nm0886754,nm0188669",1,the prisoner of zenda
tt0029608,Stella Dallas,Stella Dallas,1937,106.0,5254.0,1,"nm0556945,nm0373511,nm0698989,nm0340799,nm0700717,nm0081748",nm0896542,1,stella dallas
tt0029658,They Won't Forget,They Won't Forget,1937,95.0,1644.0,1,"nm0338950,nm0744035,nm0437189",nm0503777,1,they wont forget
tt0029747,Wáy Ớút Wést,Way Out West,1937,66.0,8109.0,1,"nm0422382,nm0736778,nm0012148,nm0663613,nm0395023,nm0427520",nm0395023,0,way out west
tt0029844,The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,1938,91.0,1967.0,1,"nm0878494,nm0915875,nm0624714",nm0851537,1,the adventures of tom sawyer
tt0029850,Alexander Nevsky,Aleksandr Nevskiy,1938,112.0,11088.0,1,"nm0001178,nm0667698","nm0001178,nm0890565",0,alexander nevsky
tt0029942,Boys Town,Boys Town,1938,96.0,5544.0,1,"nm0576046,nm0770196,nm0341178,nm0591774",nm0851537,1,boys town
tt0029947,Bringing Up Baby,Bringing Up Baby,1938,102.0,59515.0,1,"nm0629580,nm0928444",nm0001328,1,bringing up baby
tt0029957,La Bête Humaine,La Bête Humaine,1938,100.0,7375.0,1,"nm0957652,nm0719756,nm1266315",nm0719756,1,la bete humaine
tt0029995,Thé Citádél,Thé Citádél,1938,110.0,2066.0,1,"nm0198202,nm0915693,nm0384227,nm0930539,nm0188743",nm0896542,1,the citadel
tt0030127,The Baker's Wife,The Baker's Wife,2006,133.0,1991.0,1,"nm0320274,nm0656528",nm0656528,1,the bakers wife
tt0030241,Hớlidáy,Hớlidáy,2006,95.0,15746.0,1,"nm0829330,nm0118227,nm0058129",nm0002030,1,holiday
tt0030252,Hotel du Nord,Hôtel du Nord,1938,95.0,2613.0,1,"nm0196407,nm0419986,nm0042179",nm0138893,0,hotel du nord
tt0030341,The Lady Vanishes,The Lady Vanishes,1938,96.0,50707.0,1,"nm0924781,nm0319148,nm0490950",nm0000033,1,the lady vanishes
tt0030522,Olympia Part One: Festival of the Nations,Olympia Part One: Festival of the Nations,1938,121.0,4727.0,1,nm0726166,nm0726166,1,olympia part one festival of the nations
tt0030637,Pygmalion,Pygmalion,2006,96.0,8475.0,1,"nm0789737,nm0513744,nm0507021,nm0198202,nm0344645,nm0909727","nm0002190,nm0001366",1,pygmalion
tt0030643,Port of Shadows,Port of Shadows,1938,91.0,3558.0,1,"nm0241409,nm0699535",nm0138893,1,port of shadows
tt0031002,Thé Yớúng in Héárt,The Young in Heart,1938,90.0,1332.0,1,"nm0651585,nm0943782,nm0071657","nm0695456,nm0587277,nm0908831,nm0861703",0,the young in heart
tt0031022,The Adventures of Sherlock Holmes,The Adventures of Sherlock Holmes,1939,85.0,6616.0,1,"nm0089637,nm0237033,nm0319069,nm0236279",nm0921288,1,the adventures of sherlock holmes
tt0031088,Beau Geste,Beau Geste,1939,112.0,3558.0,1,"nm0308604,nm0942118",nm0920074,1,beau geste
tt0031143,The Cat and the Canary,The Cat and the Canary,1939,72.0,2967.0,1,"nm0216755,nm0823395,nm0929616",nm0637790,1,the cat and the canary
tt0031149,Charlie Chan in Reno,Charlie Chan in Reno,1939,71.0,1366.0,1,"nm0405081,nm0712730,nm0448839,nm0943804,nm0081788",nm0287988,1,charlie chan in reno
tt0031210,Dark Victory,Dark Victory,2006,104.0,10794.0,1,"nm0732452,nm0108108,nm0088602",nm0332539,1,dark victory
tt0031225,Déstry Ridés Ágáin,Destry Rides Again,1939,95.0,11094.0,1,"nm0413519,nm0700717,nm0616730,nm0062738",nm0550892,0,destry rides again
tt0031235,Dodge City,Dodge City,1939,104.0,5061.0,1,nm0118758,nm0002031,1,dodge city
tt0031334,The Four Feathers,The Four Feathers,1939,129.0,5917.0,1,"nm0556571,nm0792670,nm0083742,nm0934497",nm0466113,1,the four feathers
tt0031381,Gone with the Wind,Gone with the Wind,1939,238.0,303845.0,1,"nm0593565,nm0397608,nm0308177,nm0372942,nm0842485,nm0886668","nm0281808,nm0002030,nm0939992",1,gone with the wind
tt0031385,"Goodbye, Mr. Chips","Goodbye, Mr. Chips",1939,114.0,10311.0,1,"nm0792670,nm0921995,nm0556178,nm0385264","nm0939992,nm0291548",1,goodbye mr chips
tt0031387,The Gorilla,The Gorilla,1939,66.0,1426.0,0,"nm0817809,nm0416861,nm0799015",nm0245385,1,the gorilla
