column0,tconst,primaryTitle,originalTitle,startYear,endYear,runtimeMinutes,numVotes,writers,directors
3876,tt0242998,Valentine,Valentine,2001,\N,96,27338.0,"nm0767393,nm0694526,nm0694638,nm0073766,nm0361912",nm0087595
3929,tt0252444,Rabbit-Proof Fence,Rabbit-Proof Fence,2002,\N,94,28327.0,"nm0969922,nm0647608",nm0637518
4008,tt0265298,Big Fat Liar,Big Fat Liar,\N,2002,88,36534.0,"nm0773759,nm0005367",nm0506613
4084,tt0280486,Bád Cớmpány,,2002,\N,116,47361.0,"nm0329074,nm0385430,nm0725034,nm0115192",nm0001708
4129,tt0288045,The Medallion,,2003,\N,88,40738.0,"nm0156434,nm1424658,nm0150906,nm0923932,nm0004214",nm0150906
4273,tt0317910,The Fog of War,,2003,\N,107,23943.0,\N,nm0001554
4356,tt0338564,Infernal Affairs,Mou gaan dou,2002,\N,101,122077.0,"nm0538320,nm0159039","nm0538320,nm0490487"
4444,tt0361620,First Daughter,First Daughter,2004,\N,106,22350.0,"nm0070566,nm0005278,nm1009988",nm0001845
4533,tt0375100,Drowning Ghost,,2004,\N,100,2048.0,"nm0405632,nm0423872",nm0405632
4538,tt0375880,Kaadhal Konden,Kaadhal Konden,\N,2003,150,2108.0,\N,nm1421754
4679,tt0398883,The Consequences of Love,Le conseguenze dell'amore,2004,\N,100,16469.0,nm0815204,nm0815204
4707,tt0404552,The Life,,2004,\N,87,1708.0,"nm1583657,nm0685408",nm1009774
4990,tt0457433,Perfect Stranger,Perfect Stranger,2007,\N,109,46967.0,"nm0464548,nm0092578",nm0001226
5092,tt0477991,Kinéttá,,2005,\N,95,1708.0,"nm2031142,nm0487166",nm0487166
5097,tt0478338,Zizek!,Zizek!,2005,\N,71,1639.0,\N,nm2025391
5111,tt0480271,Van Wilder 2: The Rise of Taj,,2006,\N,97,22935.0,"nm0302360,nm0325166,nm0905858",nm0622240
5149,tt0488478,12,12,2007,\N,159,14432.0,"nm0586482,nm1436795,nm0596208,nm0741627",nm0586482
5395,tt0848228,The Avengers,,2012,\N,143,1321304.0,"nm0923736,nm0672015",nm0923736
5437,tt0887971,While She Was Out,While She Was Out,2008,\N,86,6790.0,"nm0117092,nm1848205",nm1848205
5455,tt0900357,Boogeyman 2,,2007,\N,93,8307.0,"nm0797321,nm0471392",nm0079111
5463,tt0907134,"Basic Sanitation, the Movie","Saneamento Básico, O Filme",2007,\N,112,,nm0299134,nm0299134
5549,tt0984130,Miao Miao,,2008,\N,83,,"nm3171048,nm3171409",nm3171048
5589,tt10085338,Blớớd ớn Hér Námé,,2019,\N,85,1407.0,"nm2019494,nm1391169",nm1391169
5614,tt1020055,Night Train,,2009,\N,91,9237.0,nm0454521,nm0454521
5724,tt1059980,Soccer Mom,Soccer Mom,2008,\N,92,1199.0,nm2672870,nm0565669
5819,tt10994688,The Binge,,2020,\N,98,3239.0,nm3848783,nm1275670
6130,tt12335692,Last Man Down,,\N,2021,87,7042.0,"nm2351642,nm4571421,nm2561830",nm2351642
6249,tt1290400,Dớúblé Idéntity,,\N,2009,97,2593.0,"nm0227237,nm0227486",nm0227486
6285,tt13105824,My Missing Váléntiné,Xiao shi de qing ren jie,2020,\N,119,1322.0,nm0155446,nm0155446
6312,tt1326733,The Art of the Steal,,2009,\N,101,2374.0,\N,nm0034531
6374,tt13622180,Mayor Pete,Mayor Pete,\N,2021,96,1250.0,"nm0786785,nm1402872,nm0608999,nm11857983",nm0608999
6447,tt1407084,Twelve,,2010,\N,93,12154.0,"nm0577332,nm3393347",nm0001708
6644,tt1545328,Stand Off,Whole Lotta Sole,2011,\N,89,2248.0,"nm1686909,nm0313623",nm0313623
6649,tt1547230,Judy Moody and the Not Bummer Summer,,2011,\N,93,3150.0,"nm0915291,nm3696683",nm0776271
6758,tt1617178,Little Rose,Rózyczka,2010,\N,118,1366.0,"nm0440004,nm0452221",nm0452221
6911,tt1722426,Auschwitz,,2011,\N,73,,nm0093051,nm0093051
6994,tt1792543,The Reunion,,2011,\N,90,4068.0,nm0667937,nm0667937
6996,tt1793931,Thé Túché Fámily,Les Tuche,\N,2011,95,3251.0,"nm2382268,nm0490702,nm0057842",nm0057842
7022,tt1814836,Project Nim,Project Nim,2011,\N,93,8399.0,nm5002788,nm1016428
7092,tt1865393,Hellbenders,,2012,\N,85,1597.0,nm0678786,nm0678786
7100,tt1869682,SuckSeed,,2011,\N,130,2295.0,"nm3892733,nm4691847,nm3892831,nm3916877,nm3849344",nm3892733
7250,tt2057920,It Watches,It Watches,2016,\N,79,,"nm3068246,nm0662180",nm0662180
7261,tt2064849,London Paris New York,,2012,\N,100,3739.0,"nm3128158,nm7278299",nm7278299
7557,tt2361509,Thé Intérn,,2015,\N,121,239674.0,nm0583600,nm0583600
7589,tt2381213,Sundown,Sundown,2016,\N,103,2333.0,"nm1130190,nm0854185",nm1130190
7607,tt2396495,Fresh Meat,,2012,\N,91,1885.0,"nm0008926,nm0639634,nm1065342",nm0611833
7723,tt2576852,The Tale of The Princess Kaguya,Kaguya-hime no monogatari,2013,\N,137,43327.0,"nm0847223,nm4940865",nm0847223
7777,tt2713642,Jersey Shore Massacre,Jersey Shore Massacre,2014,\N,88,,"nm4406221,nm5605497",nm4406221
8073,tt3353060,Stealing Cars,Stealing Cars,2015,\N,94,1196.0,"nm0533111,nm0017620",nm2206827
8208,tt3593120,The Device,The Device,2014,\N,90,,"nm2621891,nm2676430",nm2621891
8395,tt4012424,The Movie of My Life,O Filme da Minha Vida,2017,\N,113,1883.0,"nm0578080,nm0805073,nm2834487",nm0578080
8469,tt4169250,M.S. Dhoni: The Untold Story,,2016,\N,184,49328.0,"nm3109770,nm4614038,nm3118214,nm4274191",nm3109770
8636,tt4610748,Devil's Gate,,2017,\N,94,,"nm1016720,nm1580400",nm1580400
8727,tt4881430,Strip Club Massacre,Strip Club Massacre,2017,\N,101,2505.0,"nm7274555,nm7274556",nm7274555
8782,tt5030402,Little Boxes,,2016,\N,84,1868.0,nm0397927,nm1764800
8831,tt5143226,12 Feet Deep,12 Feet Deep,2017,\N,85,17527.0,"nm1760759,nm2478416",nm1760759
8989,tt5584796,Tehran Taboo,Teheran Tabu,2017,\N,96,4069.0,"nm3468275,nm8962876",nm3468275
8997,tt5600714,Laal Rang,,2016,\N,147,4520.0,"nm6269768,nm6165016",nm6269768
9087,tt5807330,Tread,Tread,2020,\N,89,2605.0,nm2099491,nm2099491
9112,tt5869350,Morran & Tobias - Som en skänk från ovan,,2016,\N,99,1565.0,"nm0349052,nm0511393,nm0722209,nm1426377",nm0511393
9200,tt6142496,6 Balloons,,2018,\N,74,3993.0,nm2903680,nm2903680
9284,tt6428676,Wonder Park,,2019,\N,85,,"nm0032227,nm0625858,nm0330565",nm0113477
9418,tt6978954,Pal Pal Dil Ke Paas,Pal Pal Dil Ke Paas,\N,2019,154,,"nm2330238,nm11487523",nm0219971
9549,tt7533878,Sen Kiminle Dans Ediyorsun,Sen Kiminle Dans Ediyorsun,2017,\N,106,2015.0,nm4342198,nm4342198
9560,tt7562630,Minsárá Kánná,Minsara Kanna,1999,\N,165,1009.0,nm0433893,nm0433893
9568,tt7610008,Secret Ingredient,Iscelitel,2017,\N,104,1276.0,nm2754753,nm2754753
9646,tt7974772,A Sniper's War,,2018,\N,83,7950.0,\N,nm7253772
9724,tt8291224,Uri: The Surgical Strike,,2019,\N,138,53894.0,nm2336554,nm2336554
9822,tt8784956,Ava,Ava,2020,\N,96,50180.0,nm0628563,nm0853238
9869,tt9056818,Last Breath,,2019,\N,90,5047.0,nm1950742,"nm1469305,nm1950742"
336,tt0035521,Lés Visitéúrs dú Sớir,,1942,\N,120,2131.0,"nm0699535,nm0488435",nm0138893
392,tt0037988,The Picture of Dorian Gray,The Picture of Dorian Gray,1945,\N,110,12786.0,"nm0506797,nm0928492",nm0506797
434,tt0039563,O Leão da Estrela,,1947,\N,121,1145.0,"nm0060576,nm0075911,nm0735096",nm0239069
502,tt0042041,White Heat,White Heat,1949,\N,114,31831.0,"nm0324578,nm0730850,nm0446132",nm0909825
563,tt0044762,Jack and the Beanstalk,,1952,\N,70,3090.0,"nm0193466,nm0182600",nm0946391
564,tt0044860,The Lusty Men,,1952,\N,113,2955.0,"nm0566752,nm0234228,nm0822827,nm0370883,nm0813584,nm0907003","nm0663577,nm0712947"
681,tt0049291,The Harder They Fall,,1956,\N,109,,"nm0948634,nm0775977",nm0733476
788,tt0052724,Day of the Outlaw,Day of the Outlaw,1959,\N,92,3558.0,"nm2806393,nm0948634",nm0211964
856,tt0054130,La Notte,,1961,\N,122,,"nm0000774,nm0280919,nm0346096",nm0000774
875,tt0054407,Le Trou,Le trou,1960,\N,131,17032.0,"nm0320510,nm0065442,nm0042159",nm0065442
990,tt0057542,Summer Magic,Summer Magic,1963,\N,110,2366.0,"nm0072639,nm0927752",nm0624809
1020,tt0058301,Rúss Méyér's Lớrná,,1964,\N,78,1090.0,"nm0341526,nm0000540",nm0000540
1030,tt0058461,A Fistful of Dollars,,1964,\N,99,,"nm0093501,nm8800791,nm0146033,nm0001466,nm0173549,nm0000041,nm0223964,nm0452878,nm0856319,nm0884547",nm0001466
1033,tt0058561,The Secret Invasion,,1964,\N,95,1095.0,nm0132790,nm0000339
1071,tt0059616,The Trial of Joan of Arc,,\N,1962,65,4667.0,"nm0000975,nm0150728",nm0000975
1122,tt0061191,The Wild World of Batwoman,The Wild World of Batwoman,1966,\N,70,4622.0,nm0912876,nm0912876
1149,tt0061648,Far from the Madding Crowd,,1967,\N,168,5599.0,"nm0362762,nm0710698",nm0772259
1152,tt0061752,Évén thé Wind Is áfráid,,1968,\N,88,1544.0,nm0846010,nm0846010
1421,tt0068817,Lone Wolf and Cub: Baby Cart to Hades,,1972,\N,89,4900.0,"nm0463521,nm0463618",nm0593014
1460,tt0069994,Don't Look in the Basement,The Forgotten,\N,1973,89,3066.0,"nm0691193,nm0691194",nm0115259
1571,tt0073540,Picnic at Hanging Rock,Picnic at Hanging Rock,1975,\N,115,36188.0,"nm0512243,nm0337730",nm0001837
1775,tt0079688,Ớvér thé Édgé,,1979,\N,95,6795.0,"nm0351919,nm0006853",nm0438279
1810,tt0080738,The First Deadly Sin,The First Deadly Sin,1980,\N,112,1952.0,"nm0748111,nm0761628",nm0404606
1945,tt0084390,The Ballad of Narayama,,1983,\N,130,7964.0,"nm0408076,nm0265792",nm0408076
1998,tt0085473,Eddie Macon's Run,Eddie Macon's Run,1983,\N,95,1166.0,"nm0572742,nm0437596",nm0437596
2151,tt0089085,Elvis Gratton: Le king des kings,Elvis Gratton: Le king des kings,1985,\N,89,1214.0,"nm0265853,nm0693625","nm0265853,nm0693625"
2311,tt0093058,Full Metal Jacket,Full Metal Jacket,1987,\N,116,708396.0,"nm0000040,nm0380282,nm0368007",nm0000040
2794,tt0106417,Sailor Moon R: The Movie: The Promise of the Rose,,1993,\N,61,2511.0,"nm0866742,nm0847603,nm0525873",nm0407552
2859,tt0108187,Sớn ớf thé Pink Pánthér,,1993,\N,93,,"nm0725009,nm0001175,nm0839372,nm0839379",nm0001175
2899,tt0109478,Thé Cớớl Súrfácé,,\N,1993,88,1281.0,nm0030129,nm0030129
3020,tt0112873,A Story About Love,Dis - en historie om kjærlighet,1995,\N,70,3147.0,nm0761159,nm0761159
3072,tt0114323,Safe,Safe,1995,\N,119,14501.0,nm0001331,nm0001331
3220,tt0117965,The Trigger Effect,The Trigger Effect,1996,\N,94,7689.0,"nm0121708,nm0462895",nm0462895
3265,tt0119190,George of the Jungle,,1997,\N,92,,"nm0911599,nm0647615,nm0920108",nm0918873
3316,tt0120126,Sick,,1997,\N,90,1647.0,\N,nm0225269
3347,tt0120710,In Dreams,In Dreams,1999,\N,100,12897.0,"nm0939562,nm0732430,nm0001403",nm0001403
3445,tt0135790,Bang Boom Bang - Ein todsicheres Ding,,1999,\N,110,10072.0,"nm0392668,nm0861826",nm0861826
3827,tt0233289,The Bare Wench Project,,2000,\N,76,1015.0,nm0691061,nm0691061
3880,tt0243889,Éúréká,,2000,\N,217,3779.0,nm0031888,nm0031888
3937,tt0252618,Köseyi Dönen Adam,,1978,\N,82,2713.0,"nm0315442,nm0119457,nm0947998",nm0947998
4015,tt0266519,Évérything fớr á Réásớn,Everything for a Reason,2000,\N,89,1541.0,nm0663050,nm0663050
4135,tt0289320,Stuff and Dough,Marfa si banii,2001,\N,90,2064.0,"nm1090998,nm1146102",nm1090998
4242,tt0312329,Against the Ropes,Against the Ropes,2004,\N,110,7062.0,"nm0435955,nm0249882",nm0001165
4311,tt0327835,Él hárrif,El harrif,1983,\N,148,1160.0,nm0451262,nm0451262
4327,tt0330069,Blue Collar Comedy Tour: The Movie,Blue Collar Comedy Tour: The Movie,2003,\N,105,4442.0,"nm0257821,nm0289344,nm1249256,nm1247387",nm1085552
4339,tt0333766,Gárdén Státé,,2004,\N,102,212793.0,nm0103785,nm0103785
4388,tt0346507,Ándááz,Andaaz,2003,\N,145,,"nm0080327,nm0333033,nm0415833,nm0438029",nm0438029
4441,tt0360960,Shadows of Time,,2004,\N,122,1114.0,nm0302780,nm0302780
4523,tt0373856,Gangaajal,Gangaajal,2003,\N,157,16712.0,nm0422552,nm0422552
4562,tt0378867,Téstớstérớné,,2003,\N,105,1214.0,"nm1434458,nm1435746,nm0604284",nm0604284
4576,tt0381061,Casino Royale,Casino Royale,2006,\N,144,630495.0,"nm0701031,nm0905498,nm0353673,nm0001220",nm0132709
4846,tt0427392,The Invasion,The Invasion,2007,\N,99,77073.0,"nm1738734,nm0278277","nm0386570,nm0574625"
4908,tt0441761,Free Zone,,2005,\N,90,2872.0,"nm0321159,nm0763035",nm0321159
4965,tt0452971,Dárk Blúé Álmớst Bláck,,2006,\N,105,7994.0,nm0998110,nm0998110
5047,tt0469683,Automaton Transfusion,Automaton Transfusion,2006,\N,75,,nm1921345,nm1921345
5317,tt0810924,Knife Edge,,2009,\N,90,,"nm2412184,nm0382776,nm2405695",nm0382776
5320,tt0811106,The Ten,The Ten,2007,\N,96,16593.0,"nm0547800,nm0906476",nm0906476
5498,tt0936501,Taken,Taken,2008,\N,90,584688.0,"nm0000108,nm0436543",nm0603628
5570,tt0995757,Summer Heat,,\N,2008,96,1459.0,"nm0938512,nm0904094",nm0892857
5609,tt1018764,One Piece: Baron Omatsuri and the Secret Island,,2005,\N,88,1734.0,"nm0411720,nm1520917",nm0396074
5621,tt1022883,Pig Hunt,Pig Hunt,2008,\N,99,2558.0,"nm2643660,nm2106090",nm0410494
5662,tt1034303,Défiáncé,,2008,\N,137,144060.0,"nm0296243,nm0001880,nm2739958",nm0001880
5744,tt10699348,Rúndfúnk: Jáchtérwáchtér,Rundfunk: Jachterwachter,2020,\N,89,,"nm2778297,nm0212077",nm2410024
5816,tt1098226,Adrift in Tokyo,,2007,\N,101,2575.0,"nm2464294,nm1892800",nm1892800
5904,tt1133922,Crossing,Keurosing,2008,\N,106,1181.0,nm2587340,nm1048540
5952,tt11506284,Padre no hay más que uno 2: La llegada de la suegra,,\N,2020,96,1176.0,"nm2125297,nm0782213,nm0893556",nm0782213
6254,tt1292703,Ớyé Lúcky! Lúcky Ớyé!,Oye Lucky! Lucky Oye!,2008,\N,125,17140.0,"nm1962313,nm1257497,nm2286188",nm1962313
6619,tt1532503,Beginners,Beginners,2010,\N,105,,nm0590122,nm0590122
6712,tt1588358,Brother,,2010,\N,97,2556.0,"nm0429162,nm2308899",nm2308899
6781,tt1634121,Intruders,Intruders,2011,\N,100,20571.0,"nm0143006,nm0549954",nm0294379
6904,tt1716753,Monster Brawl,Monster Brawl,2011,\N,89,2428.0,"nm4050777,nm2373713",nm2373713
6931,tt1731701,Barely Lethal,Barely Lethal,2015,\N,96,21118.0,nm1733756,nm1381100
7176,tt1954701,Á Cớfféé in Bérlin,Oh Boy,2012,\N,86,,nm1673756,nm1673756
7289,tt2083379,A Dark Truth,,2012,\N,106,5971.0,nm0006860,nm0006860
7354,tt2170667,Wheels,Wheels,2014,\N,115,23664.0,nm1919905,"nm2871077,nm1919905"
7394,tt2193418,Hammer of the Gods,Hammer of the Gods,2013,\N,99,8002.0,nm0713852,nm1879225
7412,tt2211174,Ammaa Ki Boli,Ammaa Ki Boli,2021,\N,117,1321.0,\N,nm5110603
7433,tt2231489,Saint Seiya: Legend of Sanctuary,,2014,\N,93,4330.0,"nm1030700,nm0840555,nm4330767",nm0766226
7464,tt2265534,The Lifeguard,,2013,\N,98,14504.0,nm1225921,nm1225921
7499,tt2304426,The Selfish Giant,,2013,\N,91,,"nm1163237,nm0928492",nm1163237
7605,tt2396429,Dead Sushi,,2012,\N,92,1529.0,"nm5045776,nm1175724,nm2716655",nm1175724
7627,tt2409642,Ghetuputra Komola,Ghetuputra Komola,2012,\N,101,1706.0,nm0014152,nm0014152
7673,tt2478746,Gonzaga: From Father to Son,Gonzaga: De Pai pra Filho,2012,\N,120,1161.0,"nm5517048,nm5065894,nm1144331,nm0266045,nm0798595,nm2152283,nm5934228,nm5934200",nm0798595
7754,tt2628316,Green Street 3: Never Back Down,Green Street 3: Never Back Down,2013,\N,93,5582.0,nm3838717,nm2071556
8069,tt3341084,The Four 2,,2013,\N,118,,"nm0150906,nm2597943,nm3018849,nm6103431",nm0150906
8146,tt3499458,The Walking Deceased,,2015,\N,88,3270.0,nm4333498,nm3438843
8442,tt4112334,Cúrrént Théégá,Current Theega,2014,\N,128,1036.0,"nm3139460,nm3141804",nm3139460
8579,tt4441150,Salt and Fire,Salt and Fire,2016,\N,98,2679.0,"nm0001348,nm2661978",nm0001348
8632,tt4595882,Can You Ever Forgive Me?,Can You Ever Forgive Me?,2018,\N,106,50221.0,"nm0392237,nm1036221",nm1716636
8667,tt4698684,Hunt for the Wilderpeople,Hunt for the Wilderpeople,2016,\N,101,,"nm0169806,nm0190085,nm1081550",nm0169806
8809,tt5091612,A Bag of Marbles,,\N,2017,110,5363.0,"nm7634970,nm0240995,nm7634969,nm0346676,nm1171050,nm1552771",nm0240995
9000,tt5608000,Boyne Falls,,2018,\N,84,,"nm1621625,nm3089545,nm2954303",nm1621625
9006,tt5631456,Just Like Our Parents,Como Nossos Pais,2017,\N,102,2032.0,"nm1738698,nm0093252",nm1738698
9139,tt5954462,Lúmièré!,Lumière!,2016,\N,90,1337.0,nm1175459,nm1175459
9186,tt6102104,The Ride,,2018,\N,98,1193.0,"nm1156199,nm0714621,nm3885141,nm8113546",nm1156199
9280,tt6409416,The Elder One,Moothon,2019,\N,125,1907.0,"nm0440604,nm0595936,nm10396087",nm0595936
9289,tt6469548,The Head Hunter,The Head Hunter,2018,\N,72,,"nm2631847,nm2006573",nm2006573
9320,tt6555772,"Lớvé, Súrréál ánd Ớdd",Tatlim Tatlim,2017,\N,95,3128.0,nm0258784,nm0258784
9335,tt6613952,Encounter,,2018,\N,92,1279.0,nm0757507,nm0757507
9354,tt6708044,The Tribe,,2018,\N,90,2515.0,"nm0173101,nm0305864,nm0649875",nm0173101
9471,tt7242142,Blindspotting,,2018,\N,95,29854.0,"nm2592137,nm4377526",nm2788015
9536,tt7485048,Super 30,,2019,\N,154,27714.0,nm1821635,nm2134474
9567,tt7609114,Yamla Pagla Deewana Phir Se...,Yamla Pagla Deewana Phir Se...,2018,\N,145,1177.0,"nm3057599,nm2366632,nm10039092,nm9448203",nm3221483
9572,tt7624840,Paharganj,,\N,2019,108,2668.0,"nm4533509,nm4651166,nm9413392",nm4533509
9590,tt7690762,The Pact,El pacto,2018,\N,106,1161.0,"nm2553218,nm2536997,nm11696822",nm2536997
9677,tt8072400,Hello Guru Prema Kosame,,\N,2018,140,2301.0,"nm7484831,nm6650012,nm2581448",nm6650012
263,tt0032457,The Fatal Hour,,1940,\N,68,1086.0,"nm0201405,nm0905729,nm0928840",nm0631438
280,tt0033238,Waterloo Bridge,Waterloo Bridge,1940,\N,108,9631.0,"nm0067103,nm0254690,nm0296207,nm0792845",nm0503777
450,tt0039941,The Unsuspected,,1947,\N,103,3019.0,"nm0532030,nm0580648,nm0035655",nm0002031
515,tt0042546,Harvey,Harvey,\N,1950,104,54434.0,"nm0153808,nm0110958,nm0175333",nm0467396
595,tt0046004,Little Fugitive,Little Fugitive,\N,1953,75,2702.0,"nm0039107,nm0257129,nm0649907","nm0039107,nm0257129,nm0649907"
801,tt0052993,Last Train from Gun Hill,,1959,\N,95,7447.0,"nm0190185,nm0688117",nm0836328
820,tt0053361,Tiger Bay,Tiger Bay,1959,\N,105,2778.0,"nm0129832,nm0370058,nm0809949",nm0496746
830,tt0053604,The Apartment,The Apartment,1960,\N,125,173976.0,"nm0000697,nm0224634",nm0000697
881,tt0054614,All Night Long,,1962,\N,91,1252.0,"nm0455095,nm0418972,nm0000636",nm0213136
1008,tt0057997,Déád Ringér,,1964,\N,116,5415.0,"nm0067135,nm0587743,nm0416861",nm0002134
1073,tt0059711,Shénándớáh,,\N,1965,105,8494.0,nm0057157,nm0572132
1186,tt0062657,The Ambushers,,1967,\N,102,1944.0,"nm0357824,nm0048511",nm0505610
1188,tt0062687,Asterix and Cleopatra,,\N,1968,72,12615.0,"nm0331453,nm0879853,nm0548117,nm0490052,nm0853456,nm10897226,nm1018164","nm0331453,nm0879853"
1249,tt0064368,Gheisar,Gheisar,1969,\N,100,3201.0,nm0453953,nm0453953
1381,tt0067866,El Topo,El Topo,1970,\N,125,28167.0,nm0423524,nm0423524
1462,tt0070039,Horror Rises from the Tomb,,1973,\N,95,1289.0,nm0596701,nm0042155
1569,tt0073486,One Flew Over the Cuckoo's Nest,,1975,\N,133,963095.0,"nm0369142,nm0325743,nm0450181,nm0913670",nm0001232
1572,tt0073580,Thé Pásséngér,Professione: reporter,1975,\N,126,22980.0,"nm0672546,nm0762924,nm0000774,nm0208269,nm0938557",nm0000774
1624,tt0074916,Mr. Klein,,1976,\N,123,6904.0,"nm0758357,nm0603024,nm0002020",nm0521334
1643,tt0075675,Thé Áméricán Friénd,,\N,1977,128,15561.0,"nm0383604,nm0000694",nm0000694
1653,tt0075860,Clớsé Éncớúntérs ớf thé Third Kind,Close Encounters of the Third Kind,\N,1977,138,194212.0,"nm0000229,nm0059493,nm0069547,nm0384398,nm0730422",nm0000229
1679,tt0076706,Short Eyes,Short Eyes,1977,\N,100,1275.0,nm0684102,nm0950001
1830,tt0081590,Sällskápsrésán éllér Finns dét svénskt káffé på grisféstén,Sällskapsresan eller Finns det svenskt kaffe på grisfesten,1980,\N,107,7783.0,"nm0959717,nm0429647",nm0959717
1865,tt0082507,Héártbééps,Heartbeeps,1981,\N,78,1465.0,nm0384398,nm0035106
1895,tt0083033,Saturday the 14th,Saturday the 14th,1981,\N,75,4185.0,"nm0066836,nm0169438",nm0169438
1910,tt0083326,Whose Life Is It Anyway?,Whose Life Is It Anyway?,1981,\N,119,2787.0,"nm0163727,nm0741627,nm0000824,nm0045512,nm0172642",nm0000824
1971,tt0084807,Boat People,,1982,\N,109,1138.0,nm0158402,nm0401176
1974,tt0084854,Venom,Venom,1981,\N,93,,"nm1032559,nm0140588","nm0353592,nm0001361"
1981,tt0085178,Ardh Satya,,1983,\N,130,1674.0,"nm1135640,nm0222147,nm0659924,nm0854919",nm0631539
2048,tt0086379,Stroker Ace,Stroker Ace,1983,\N,96,3823.0,"nm0624224,nm0653345,nm0933505,nm0624102,nm0669757",nm0624102
2077,tt0087001,A Breed Apart,,1984,\N,95,1550.0,nm0923932,nm0602333
2285,tt0092559,And God Created Woman,And God Created Woman,1988,\N,98,1898.0,nm0829739,nm0671862
2582,tt0099776,Éúrớpá Éúrớpá,,1990,\N,112,15881.0,"nm0002140,nm0673251",nm0002140
2757,tt0105151,The Player,The Player,\N,1992,124,58098.0,nm0866062,nm0000265
